canonical_id,canonical_name,venue_type,n_events_nearby,nearest_event_m
cv_0089,Charlotte Cafe,cafe,0,4296.0
cv_0090,Charlotte Cafe,cafe,0,1618.0
cv_0091,Ground Central Coffee Company,cafe,0,584.0
cv_0092,Variety Coffee Roasters,cafe,0,3516.0
cv_0093,Bluestone Lane Manhattan West Café,cafe,0,1210.0
cv_0094,787 Coffee,cafe,0,1811.0
cv_0120,Chatham Square Library,library,0,1505.0
cv_0095,Kona Coffee Roasters | Chelsea,cafe,0,791.0
cv_0096,"P&T Knitwear Bookstore, Coffee, & Podcast Studio",cafe,0,2539.0
cv_0097,Bar Room at the Beekman,bar,0,781.0
cv_0098,Mushtari Cafe,cafe,0,6677.0
cv_0099,787 Coffee,cafe,0,2419.0
cv_0100,THE ELK,cafe,0,734.0
cv_0101,Manhattanville Coffee,cafe,0,7966.0
cv_0102,Think Coffee,cafe,1,248.0
cv_0103,Starbucks Reserve Roastery New York,cafe,1,116.0
cv_0160,The Drama Book Shop,other,0,467.0
cv_0105,Elsewhere Espresso.,cafe,0,2195.0
cv_0106,B Cup Cafe & Eatery,cafe,0,2620.0
cv_0107,Hungry Ghost Coffee,cafe,0,867.0
cv_0108,Irving Farm Coffee,cafe,0,1676.0
cv_0109,Church of Heavenly Rest Café,cafe,0,3777.0
cv_0110,Capital One Café,cafe,0,1392.0
cv_0111,Ole & Steen,cafe,0,1320.0
cv_0112,Strand Book Store,other,0,1474.0
cv_0113,Think Coffee,cafe,0,2016.0
cv_0116,outro nyc,cafe,0,1504.0
cv_0117,96th Street Library,library,0,4321.0
cv_0118,Morningside Heights Library,library,0,5749.0
cv_0119,Veselka,restaurant,0,2016.0
cv_0121,Washington Heights Library,library,0,9467.0
cv_0122,58th Street Library,library,0,1515.0
cv_0123,Joe Coffee Company: Bryant Park,cafe,0,419.0
cv_0124,maman,cafe,0,2004.0
cv_0125,Ground Central Coffee Company,cafe,0,1483.0
cv_0126,Blue Bottle Coffee,cafe,0,1034.0
cv_0127,Double Dutch Espresso,cafe,0,6067.0
cv_0128,Ground Central Coffee Company,cafe,0,1063.0
cv_0129,Daily Provisions - Union Square,restaurant,0,1545.0
cv_0130,maman,cafe,0,1332.0
cv_0131,Think Coffee,cafe,0,1467.0
cv_0132,About Coffee,cafe,0,3095.0
cv_0133,Ralph's Coffee,cafe,0,2358.0
cv_0161,Georgie’s Cafe & Bar,cafe,0,2434.0
cv_0134,Caffe Aronne | Mobile espresso bar & coffee catering,cafe,0,2438.0
cv_0135,Midnight Express Diner,restaurant,0,3915.0
cv_0136,Telegraphe Cafe.,cafe,0,845.0
cv_0137,Blue Bottle Coffee,cafe,0,944.0
cv_0138,La Cabra,cafe,0,1973.0
cv_0139,Urban Backyard,cafe,0,2132.0
cv_0140,Café Sabarsky,restaurant,0,3460.0
cv_0141,Bibble & Sip,cafe,0,653.0
cv_0142,The Ludlow Hotel,hotel,0,2592.0
cv_0143,11th Street Cafe,cafe,0,562.0
cv_0144,Coppola Cafe,cafe,0,978.0
cv_0145,Joe Coffee Company: LaGuardia Place,cafe,0,1410.0
cv_0146,Brewlita,cafe,0,2149.0
cv_0147,Dr Smood,cafe,0,2000.0
cv_0148,Blue Bottle Coffee,cafe,0,1672.0
cv_0149,Poetica Coffee,cafe,0,1997.0
