canonical_id,dow,hour,busyness,busyness_pct
cv_0157,2,0,1085.5,4.8
cv_0157,2,1,316.6,1.4
cv_0157,2,2,133.3,0.6
cv_0157,2,3,68.9,0.3
cv_0157,2,4,80.9,0.4
cv_0157,2,5,718.8,3.2
cv_0157,2,6,2425.5,10.7
cv_0157,2,7,6115.0,27.0
cv_0157,2,8,10030.8,44.3
cv_0157,2,9,6920.6,30.6
cv_0157,2,10,4156.5,18.4
cv_0157,2,11,3861.9,17.1
cv_0157,2,12,4211.7,18.6
cv_0157,2,13,4651.4,20.5
cv_0157,2,14,5715.5,25.2
cv_0157,2,15,7562.2,33.4
cv_0157,2,16,11375.6,50.3
cv_0157,2,17,20318.8,89.8
cv_0157,2,18,14463.9,63.9
cv_0157,2,19,7568.8,33.4
cv_0157,2,20,4690.1,20.7
cv_0157,2,21,3447.2,15.2
cv_0157,2,22,2632.9,11.6
cv_0157,2,23,1615.3,7.1
cv_0157,3,0,1109.8,4.9
cv_0157,3,1,329.3,1.5
cv_0157,3,2,135.7,0.6
cv_0157,3,3,74.1,0.3
cv_0157,3,4,81.4,0.4
cv_0157,3,5,701.3,3.1
cv_0157,3,6,2305.0,10.2
cv_0157,3,7,5605.0,24.8
cv_0157,3,8,9107.7,40.2
cv_0157,3,9,6606.1,29.2
cv_0157,3,10,4112.1,18.2
cv_0157,3,11,3892.6,17.2
cv_0157,3,12,4235.1,18.7
cv_0157,3,13,4656.2,20.6
cv_0157,3,14,5752.7,25.4
cv_0157,3,15,7470.6,33.0
cv_0157,3,16,10973.0,48.5
cv_0157,3,17,18515.0,81.8
cv_0157,3,18,13521.0,59.7
cv_0157,3,19,7376.3,32.6
cv_0157,3,20,4648.1,20.5
cv_0157,3,21,3484.8,15.4
cv_0157,3,22,2705.7,12.0
cv_0157,3,23,1728.7,7.6
cv_0157,4,0,1115.1,4.9
cv_0157,4,1,351.5,1.6
cv_0157,4,2,143.9,0.6
cv_0157,4,3,76.2,0.3
cv_0157,4,4,84.2,0.4
cv_0157,4,5,631.8,2.8
cv_0157,4,6,1884.6,8.3
cv_0157,4,7,4002.9,17.7
cv_0157,4,8,5261.7,23.2
cv_0157,4,9,4164.6,18.4
cv_0157,4,10,3746.0,16.5
cv_0157,4,11,3804.5,16.8
cv_0157,4,12,4249.7,18.8
cv_0157,4,13,4804.6,21.2
cv_0157,4,14,5937.8,26.2
cv_0157,4,15,7644.7,33.8
cv_0157,4,16,9581.3,42.3
cv_0157,4,17,12080.0,53.4
cv_0157,4,18,9055.9,40.0
cv_0157,4,19,5818.7,25.7
cv_0157,4,20,4051.2,17.9
cv_0157,4,21,3302.2,14.6
cv_0157,4,22,2781.9,12.3
cv_0157,4,23,1952.2,8.6
cv_0157,5,0,1361.5,6.0
cv_0157,5,1,503.4,2.2
cv_0157,5,2,214.8,0.9
cv_0157,5,3,108.2,0.5
cv_0157,5,4,95.1,0.4
cv_0157,5,5,134.7,0.6
cv_0157,5,6,526.7,2.3
cv_0157,5,7,893.7,3.9
cv_0157,5,8,1353.5,6.0
cv_0157,5,9,2115.2,9.3
cv_0157,5,10,3079.2,13.6
cv_0157,5,11,3875.5,17.1
cv_0157,5,12,4210.1,18.6
cv_0157,5,13,4253.2,18.8
cv_0157,5,14,4436.6,19.6
cv_0157,5,15,4845.6,21.4
cv_0157,5,16,5068.9,22.4
cv_0157,5,17,5044.0,22.3
cv_0157,5,18,4603.4,20.3
cv_0157,5,19,3837.7,17.0
cv_0157,5,20,3026.9,13.4
cv_0157,5,21,2620.5,11.6
cv_0157,5,22,2433.7,10.8
cv_0157,5,23,1832.0,8.1
cv_0157,6,0,950.3,4.2
cv_0157,6,1,464.8,2.1
cv_0157,6,2,200.4,0.9
cv_0157,6,3,106.7,0.5
cv_0157,6,4,84.4,0.4
cv_0157,6,5,119.8,0.5
cv_0157,6,6,379.5,1.7
cv_0157,6,7,661.3,2.9
cv_0157,6,8,1017.7,4.5
cv_0157,6,9,1674.6,7.4
cv_0157,6,10,2584.3,11.4
cv_0157,6,11,3135.3,13.9
cv_0157,6,12,3505.4,15.5
cv_0157,6,13,3359.6,14.8
cv_0157,6,14,3473.7,15.3
