station_complex_id,dow,hour,mean_ridership,pred_ridership,n_obs
300,4,1,10.895522388059701,10.51935559381017,67
300,4,2,9.567164179104477,10.154525737470445,67
300,4,3,18.55223880597015,16.75119709706022,67
300,4,4,46.54666666666667,45.770431617246295,75
300,4,5,178.44,176.8343417973533,75
300,4,6,327.62666666666667,320.33655168932296,75
300,4,7,631.7466666666667,630.8517014310481,75
300,4,8,550.2133333333334,541.2009538595714,75
300,4,9,328.6933333333333,336.7865974791174,75
300,4,10,249.52,250.08857591323627,75
300,4,11,240.24,247.29523821780953,75
300,4,12,238.26666666666668,248.2443741132173,75
300,4,13,290.96,282.63568744830457,75
300,4,14,453.26666666666665,432.1703311903832,75
300,4,15,426.93333333333334,423.16002199472297,75
300,4,16,361.37333333333333,351.10413384278365,75
300,4,17,316.7866666666667,298.4430262823076,75
300,4,18,245.96,246.09544468308232,75
300,4,19,176.74666666666667,173.05976839213318,75
300,4,20,127.42666666666666,134.05736404311827,75
300,4,21,96.77333333333333,100.77681201277923,75
300,4,22,65.84,67.31571044521081,75
300,4,23,56.93333333333333,59.14443961112465,75
300,5,0,21.82191780821918,23.52929955971195,73
300,5,1,12.845070422535212,14.903349933120404,71
300,5,2,8.901408450704226,10.753943444938177,71
300,5,3,12.814285714285715,12.553030734591431,70
300,5,4,30.01388888888889,30.403426228628557,72
300,5,5,80.91549295774648,84.68699195000922,71
300,5,6,135.6338028169014,134.57525860641576,71
300,5,7,212.70833333333334,213.13718096393555,72
300,5,8,250.26760563380282,250.43620189451164,71
300,5,9,245.65277777777777,246.46793687077994,72
300,5,10,239.70422535211267,241.64885218049434,71
300,5,11,268.9577464788732,248.83039338904263,71
300,5,12,289.46478873239437,255.50463126990118,71
300,5,13,300.77464788732397,307.42836827308537,71
300,5,14,300.125,302.8554550748831,72
300,5,15,287.84722222222223,287.22120548202406,72
300,5,16,239.65277777777777,259.4445601572155,72
300,5,17,212.61111111111111,242.24394129177958,72
300,5,18,191.94366197183098,230.25775863025035,71
300,5,19,146.58333333333334,148.58009066604254,72
300,5,20,114.41666666666667,115.22965551577141,72
300,5,21,95.49295774647888,94.34116842586971,71
300,5,22,64.36619718309859,63.81820646649373,71
300,5,23,56.375,61.259699512990515,72
300,6,0,22.22222222222222,23.209144587851572,72
300,6,1,14.661971830985916,15.787981200375988,71
300,6,2,8.385714285714286,10.287070110049617,70
300,6,3,11.253521126760564,11.601381468811315,71
300,6,4,19.450704225352112,19.0578194753306,71
300,6,5,67.36619718309859,67.2267208355085,71
300,6,6,98.36619718309859,98.3828532339103,71
300,6,7,138.125,138.69176705272136,72
300,6,8,181.09859154929578,181.75488721718966,71
300,6,9,199.72222222222223,195.57898461993807,72
300,6,10,212.91549295774647,211.24995201509668,71
300,6,11,219.69014084507043,215.65929145064834,71
300,6,12,235.35211267605635,232.69407017987933,71
300,6,13,247.73239436619718,239.02519255041662,71
300,6,14,247.29166666666666,250.657745961921,72
300,6,15,241.6027397260274,246.9262399495744,73
300,6,16,193.14084507042253,205.04437796892304,71
300,6,17,169.1549295774648,167.62931214752197,71
300,6,18,139.30985915492957,136.91311773216003,71
300,6,19,98.98630136986301,98.75491255394402,73
300,6,20,85.05633802816901,83.94326254288974,71
300,6,21,65.08450704225352,64.29899882706735,71
300,6,22,47.53521126760563,43.953604881785786,71
300,6,23,39.375,39.50139291490072,72
