canonical_id,canonical_name,venue_type,nearest_class,nearest_dist_m,n_roads_within,dominant_class,dominant_dist_m,road_db,road_noise_prior
cv_0119,Veselka,restaurant,residential,13.0,66,primary,18.7,67.3,0.636
cv_0121,Washington Heights Library,library,residential,12.8,53,secondary,26.7,62.7,0.507
cv_0122,58th Street Library,library,residential,14.8,91,primary,79.1,61.0,0.458
cv_0123,Joe Coffee Company: Bryant Park,cafe,pedestrian,2.4,88,secondary,59.4,59.3,0.407
cv_0124,maman,cafe,primary,21.8,66,primary,21.8,66.6,0.618
cv_0125,Ground Central Coffee Company,cafe,residential,9.6,58,primary,94.7,60.2,0.435
cv_0126,Blue Bottle Coffee,cafe,tertiary,75.5,74,primary,165.2,57.8,0.366
cv_0127,Double Dutch Espresso,cafe,secondary,19.9,63,secondary,19.9,64.0,0.543
cv_0128,Ground Central Coffee Company,cafe,pedestrian,2.5,76,tertiary,16.4,58.9,0.396
cv_0129,Daily Provisions - Union Square,restaurant,residential,15.5,88,primary,40.4,63.9,0.541
cv_0130,maman,cafe,residential,18.1,84,secondary,131.9,55.8,0.308
cv_0131,Think Coffee,cafe,residential,15.5,94,secondary,18.5,64.3,0.552
cv_0132,About Coffee,cafe,primary,20.9,45,primary,20.9,66.8,0.623
cv_0133,Ralph's Coffee,cafe,secondary,17.8,37,secondary,17.8,64.5,0.557
cv_0161,Georgie’s Cafe & Bar,cafe,residential,11.1,108,motorway,78.6,66.0,0.601
cv_0134,Caffe Aronne | Mobile espresso bar & coffee catering,cafe,secondary,18.0,44,secondary,18.0,64.4,0.555
cv_0135,Midnight Express Diner,restaurant,residential,12.3,52,primary,17.6,67.5,0.644
cv_0136,Telegraphe Cafe.,cafe,residential,9.7,33,secondary,53.6,59.7,0.42
cv_0137,Blue Bottle Coffee,cafe,residential,33.3,73,secondary,44.4,60.5,0.444
cv_0138,La Cabra,cafe,secondary,18.0,83,secondary,18.0,64.5,0.556
cv_0139,Urban Backyard,cafe,residential,9.3,68,primary,38.3,64.2,0.548
cv_0140,Café Sabarsky,restaurant,secondary,22.7,43,secondary,22.7,63.4,0.527
cv_0141,Bibble & Sip,cafe,residential,12.1,80,secondary,38.8,61.1,0.46
cv_0142,The Ludlow Hotel,hotel,residential,18.3,115,primary,56.2,62.5,0.5
cv_0143,11th Street Cafe,cafe,residential,13.2,66,trunk,204.3,59.9,0.426
cv_0144,Coppola Cafe,cafe,residential,10.1,85,secondary,75.1,58.2,0.378
cv_0145,Joe Coffee Company: LaGuardia Place,cafe,residential,21.6,71,primary,268.3,55.7,0.306
cv_0146,Brewlita,cafe,residential,20.5,74,secondary,59.4,59.3,0.407
cv_0147,Dr Smood,cafe,residential,11.0,55,primary,35.6,64.5,0.557
cv_0148,Blue Bottle Coffee,cafe,tertiary,11.3,82,secondary,15.0,65.2,0.578
cv_0149,Poetica Coffee,cafe,primary,17.4,75,primary,17.4,67.6,0.645
cv_0150,Picky Barista,cafe,primary,23.4,39,primary,23.4,66.3,0.609
